Date,Close,High,Low,Open,Volume
2024-08-14,23.75,27.5,23.75,26.25,27135
2024-08-15,21.25,25.0,20.0,23.75,93468
2024-08-16,22.5,22.5,21.25,22.5,6148
2024-08-19,21.25,22.5,21.25,22.5,16628
2024-08-20,22.5,22.5,21.25,21.25,8116
2024-08-21,22.5,22.5,21.25,22.5,4733
2024-08-22,21.25,22.5,21.25,22.5,3371
2024-08-23,20.0,22.5,20.0,21.25,22888
2024-08-26,21.25,21.25,20.0,20.0,3992
2024-08-27,21.25,21.25,20.0,21.25,3089
2024-08-28,21.25,21.25,20.0,21.25,5844
2024-08-29,20.0,21.25,20.0,21.25,9870
2024-08-30,20.0,21.25,20.0,20.0,3300
2024-09-02,20.0,21.25,18.75,20.0,19156
2024-09-03,20.0,21.25,18.75,20.0,33044
2024-09-04,18.75,20.0,18.75,20.0,4906
2024-09-05,20.0,20.0,18.75,20.0,2612
2024-09-06,20.0,20.0,18.75,20.0,6225
2024-09-09,20.0,20.0,18.75,20.0,5798
2024-09-10,20.0,20.0,18.75,18.75,12724
2024-09-11,20.0,20.0,18.75,20.0,13072
2024-09-12,20.0,20.0,18.75,18.75,1672
2024-09-13,20.0,20.0,18.75,20.0,4739
2024-09-16,20.0,20.0,18.75,20.0,2447
2024-09-17,18.75,20.0,18.75,20.0,8040
2024-09-18,18.75,21.25,18.75,20.0,40801
2024-09-19,18.75,20.0,18.75,20.0,3713
2024-09-20,18.75,20.0,18.75,18.75,9511
2024-09-23,15.0,20.0,13.75,20.0,156258
2024-09-24,10.0,15.0,10.0,13.75,383191
2024-09-25,6.25,10.0,6.25,8.75,432871
2024-09-26,2.5,5.0,1.25,3.75,3152672
2024-09-27,1.25,2.5,1.25,2.5,776140
2024-09-30,2.5,2.5,1.25,1.25,283399
2024-10-01,2.5,2.5,1.25,2.5,174041
2024-10-02,2.5,2.5,1.25,2.5,207902
2024-10-03,1.25,2.5,1.25,2.5,222704
2024-10-04,1.25,2.5,1.25,1.25,212318
2024-10-07,2.5,2.5,1.25,1.25,216381
2024-10-08,1.25,2.5,1.25,1.25,371059
2024-10-09,1.25,2.5,1.25,2.5,591622
2024-10-10,1.25,2.5,1.25,1.25,627193
2024-10-11,1.25,2.5,1.25,1.25,834254
2024-10-14,1.25,2.5,1.25,1.25,821409
2024-10-15,1.25,2.5,1.25,1.25,555824
2024-10-16,1.25,2.5,1.25,1.25,587588
2024-10-17,1.25,2.5,1.25,1.25,389371
2024-10-18,1.25,2.5,1.25,1.25,320781
2024-10-21,2.5,2.5,1.25,1.25,347072
2024-10-22,1.25,2.5,1.25,1.25,407178
2024-10-23,1.25,2.5,1.25,1.25,150340
2024-10-24,1.25,2.5,1.25,1.25,616420
2024-10-25,1.25,2.5,1.25,2.5,1359804
2024-10-28,1.25,2.5,1.25,1.25,1499083
2024-10-29,1.25,2.5,1.25,1.25,178156
2024-10-30,1.25,2.5,1.25,1.25,1123064
2024-10-31,1.25,2.5,1.25,1.25,1333589
2024-11-01,1.25,2.5,1.25,1.25,1383983
2024-11-04,1.25,2.5,1.25,1.25,235316
2024-11-05,1.25,2.5,1.25,1.25,101828
2024-11-06,1.25,2.5,1.25,1.25,717774
2024-11-07,1.25,2.5,1.25,1.25,492284
2024-11-08,1.25,2.5,1.25,1.25,214609
2024-11-11,1.25,2.5,1.25,1.25,286401
2024-11-12,1.25,2.5,1.25,1.25,236939
